"Designator","Footprint","Mid X","Mid Y","Ref X","Ref Y","Pad X","Pad Y","Layer","Rotation","Comment"
""
"R2","RESC1608X55N","8mm","2.8mm","8mm","2.8mm","8mm","1.95mm","T","90.00","Thick Film"
"R3","RESC1608X55N","17mm","2.8mm","17mm","2.8mm","17mm","1.95mm","T","90.00","Thick Film"
"P3","HDR1X4","1.6mm","12.49mm","1.6mm","16.3mm","1.6mm","16.3mm","T","270.00","Header 4"
"U1","32A_N","12.5mm","12.5mm","12.5mm","12.5mm","16.7mm","15.3mm","B","180.00","ATmega328-AU"
"C4","CAPC1608X90N","18.8mm","10.5mm","18.8mm","10.5mm","18.8mm","9.65mm","B","90.00","approved sub OK"
"R1","RESC1608X55N","20.5mm","18mm","20.5mm","18mm","20.5mm","18.85mm","B","270.00","Thick Film"
"ADR1","PAD-JUMPER-2-NC_BY_TRACE_YES_SILK","7.508mm","18.9999mm","7.5079mm","19mm","7mm","18.9999mm","B","360.00","JUMPER-PAD-2-NC_BY_TRACE"
"ADR2","PAD-JUMPER-2-NC_BY_TRACE_YES_SILK","7.508mm","20.8mm","7.5079mm","20.8mm","7mm","20.8mm","B","360.00","JUMPER-PAD-2-NC_BY_TRACE"
"P1","SM04B-SRSS-TB","12.75mm","21.95mm","14.25mm","20mm","13.25mm","20mm","B","90.00","JST-SH 4P"
"U2","NSE-5310","12.6055mm","12.5117mm","13.25mm","12.5mm","9.675mm","9.45mm","T","0.00","NSE-5310"
"C3","CAPC1608X90N","18.8mm","13.8mm","18.8mm","13.8mm","18.8mm","12.95mm","B","90.00","approved sub OK"
"C1","CAPC2012X135N","18mm","20mm","18mm","20mm","18mm","19.1mm","B","90.00","approved sub OK"
"LED1","LED3535","12.4987mm","2.807mm","12.5mm","2.8mm","14.25mm","3.689mm","B","180.00","WS2812B3535"
"LED2","LED3535","12.5013mm","2.807mm","12.5mm","2.8mm","10.75mm","3.689mm","T","0.00","WS2812B3535"
"3V3","PAD-JUMPER-2-NO_NO_SILK","7.3036mm","19.2mm","7.3mm","19.2mm","6.85mm","19.2mm","T","0.00","JUMPER-PAD-2-NO"
"C2","CAPC1608X90N","6.2mm","11.8mm","6.2mm","11.8mm","6.2mm","10.95mm","B","90.00","approved sub OK"
"C6","CAPC1608X90N","8.3mm","15.3mm","8.3mm","15.3mm","8.3mm","16.15mm","T","270.00","approved sub OK"
"C5","CAPC1608X90N","8.3mm","11.8mm","8.3mm","11.8mm","8.3mm","12.65mm","T","270.00","approved sub OK"
"DISABLE","PAD-JUMPER-2-NO_NO_SILK","18.0036mm","20mm","18mm","20mm","17.55mm","20mm","T","360.00","JUMPER-PAD-2-NO"

